Mixing_Time,Active_1,Active_2,RM_3,RM_4,Active_3,RM_6,RM_7,RM_8,Active_4,Water,Crashout,Viscosity,PC_1-4,PC_2-4,PC_3-4,PC_4-4,PC_1-5,PC_2-5,PC_3-5,PC_4-5,PC_5-5
2.0,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0011,7443,0.7953949483740868,0.14268492409805753,-0.9904599304292541,-0.00361466572705696,0.7953949483740868,0.14268492409805753,-0.9904599304292541,-0.00361466572705696,-0.3229783316791409
2.5,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0042,9656,0.5038082879236679,-1.7269794249250818,-1.3667283895174382,0.6160300595921548,0.5038082879236679,-1.7269794249250818,-1.3667283895174382,0.6160300595921548,0.40299389636001376
2.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0125,8596,0.8092738352861832,-0.310849253602811,-1.3874349523812595,0.6497536941410875,0.8092738352861832,-0.310849253602811,-1.3874349523812595,0.6497536941410875,0.16156810136972152
2.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0097,7265,0.7865812790554717,0.22166941542989435,-1.45207145590827,0.5536457487836389,0.7865812790554717,0.22166941542989435,-1.45207145590827,0.5536457487836389,-0.38307443242629335
2.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0075,6865,0.7927464491650232,0.12325484729565647,-1.4693478823617934,0.5309303582812774,0.7927464491650232,0.12325484729565647,-1.4693478823617934,0.5309303582812774,-0.37166765699835314
0.5,10,2.89,0.17,0.5,1.89,10.0,2.5,0.25,23.89,47.91,0.189,3503,4.442624804704548,-1.4121382091132513,2.085062909945796,0.38352452824747835,4.442624804704548,-1.4121382091132513,2.085062909945796,0.38352452824747835,0.341079262570455
0.5,10,2.64,0.17,0.5,1.54,10.0,2.5,0.25,26.89,45.51,0.321,2496,5.021551519851841,0.04796339675986269,3.213777497359198,1.7400808155032532,5.021551519851841,0.04796339675986269,3.213777497359198,1.7400808155032532,-0.10223186083412
0.5,10,2.79,0.17,0.5,1.44,10.0,2.5,0.25,28.39,43.96,0.2152,1985,4.771158880502035,0.5438688260291322,2.192064369106609,0.5425034826857821,4.771158880502035,0.5438688260291322,2.192064369106609,0.5425034826857821,-0.4787726256190497
0.5,10,2.8,0.17,0.5,1.4,10.0,2.5,0.25,28.13,44.25,0.203,1756,4.7658878891459056,0.4565668817530597,2.080403153813037,0.41312469093708704,4.7658878891459056,0.4565668817530597,2.080403153813037,0.41312469093708704,-0.4412202397816562
1.0,10,2.89,0.17,0.5,1.89,10.0,2.5,0.25,23.89,47.91,0.167,7661,4.377192981606336,-1.4416635869766383,1.342281985758825,0.6143634298881944,4.377192981606336,-1.4416635869766383,1.342281985758825,0.6143634298881944,0.3387403279300273
1.0,10,2.64,0.17,0.5,1.54,10.0,2.5,0.25,26.89,45.51,0.091,4700,4.496298169678173,-0.05549939732482945,0.538259311590478,-0.25340681287238626,4.496298169678173,-0.05549939732482945,0.538259311590478,-0.25340681287238626,0.23489685456725357
1.0,10,2.79,0.17,0.5,1.44,10.0,2.5,0.25,28.39,43.96,0.0178,4221,4.317973711975768,0.45199430006374086,-0.18053441893343344,-1.1023637376199862,4.317973711975768,0.45199430006374086,-0.18053441893343344,-1.1023637376199862,-0.1948489361376893
1.0,10,2.8,0.17,0.5,1.4,10.0,2.5,0.25,28.13,44.25,0.0169,6527,4.337683409350183,0.36870914811122946,-0.18719596568915056,-1.1109017130745231,4.337683409350183,0.36870914811122946,-0.18719596568915056,-1.1109017130745231,-0.17573878321122047
1.5,10,2.89,0.17,0.5,1.89,10.0,2.5,0.25,23.89,47.91,0.012,9293,4.017740662830067,-1.5184662550199948,-0.6363357451126298,-0.5770833823757783,4.017740662830067,-1.5184662550199948,-0.6363357451126298,-0.5770833823757783,0.5534648425951745
1.5,10,2.64,0.17,0.5,1.54,10.0,2.5,0.25,26.89,45.51,0.031,7942,4.346860490671944,-0.09853257238249338,-0.5576178430777738,-0.4289352580615808,4.346860490671944,-0.09853257238249338,-0.5576178430777738,-0.4289352580615808,0.29457604829984696
1.5,10,2.79,0.17,0.5,1.44,10.0,2.5,0.25,28.39,43.96,0.0165,7252,4.298302973543239,0.42982711698776216,-0.7309708175687584,-0.6501615707324493,4.298302973543239,0.42982711698776216,-0.7309708175687584,-0.6501615707324493,-0.23097143018131544
1.5,10,2.8,0.17,0.5,1.4,10.0,2.5,0.25,28.13,44.25,0.012,7227,4.310054221410578,0.3452622789852668,-0.7710835861595448,-0.6971975053603469,4.310054221410578,0.3452622789852668,-0.7710835861595448,-0.6971975053603469,-0.20598587561950782
2.0,10,2.89,0.17,0.5,1.89,10.0,2.5,0.25,23.89,47.91,0.0084,9870,3.9929853594346834,-1.5414510152945735,-1.2081437576981375,-0.14947713384899905,3.9929853594346834,-1.5414510152945735,-1.2081437576981375,-0.14947713384899905,0.5210960773741254
2.0,10,2.64,0.17,0.5,1.54,10.0,2.5,0.25,26.89,45.51,0.025,8717,4.316799554271845,-0.12237045669039548,-1.1517266702199942,-0.026994315650375186,4.316799554271845,-0.12237045669039548,-1.1517266702199942,-0.026994315650375186,0.26612421750235754
2.0,10,2.79,0.17,0.5,1.44,10.0,2.5,0.25,28.39,43.96,0.0145,7618,4.277084758817666,0.4074111060687313,-1.2879116204497916,-0.20544511812862162,4.277084758817666,0.4074111060687313,-1.2879116204497916,-0.20544511812862162,-0.26595148501807037
2.0,10,2.8,0.17,0.5,1.4,10.0,2.5,0.25,28.13,44.25,0.008,7371,4.2844146458477415,0.32213533137180034,-1.3466084011711716,-0.2738688078528303,4.2844146458477415,0.32213533137180034,-1.3466084011711716,-0.2738688078528303,-0.2377018184366298
2.5,10,2.89,0.17,0.5,1.89,10.0,2.5,0.25,23.89,47.91,0.0061,9570,3.971103940583522,-1.5639736667177704,-1.7678721623987603,0.2920311554903819,3.971103940583522,-1.5639736667177704,-1.7678721623987603,0.2920311554903819,0.48660563934031564
2.5,10,2.79,0.17,0.5,1.44,10.0,2.5,0.25,28.39,43.96,0.012,7209,4.254761203882779,0.3848173609760915,-1.8494984263634728,0.2339243957011282,4.254761203882779,0.3848173609760915,-1.8494984263634728,0.2339243957011282,-0.30011551184991686
2.5,10,2.8,0.17,0.5,1.4,10.0,2.5,0.25,28.13,44.25,0.0078,6834,4.267175655875707,0.30035916347776126,-1.8868235931346702,0.19009662433767743,4.267175655875707,0.30035916347776126,-1.8868235931346702,0.19009662433767743,-0.27561957409105425
